run_id,timestep,mean_reward
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s0,45000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s0,60000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s0,75000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s0,90000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s0,105000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s0,120000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s0,135000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s0,150000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s1,15000,447.8
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s1,30000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s1,45000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s1,60000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s1,75000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s1,90000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s1,105000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s1,120000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s1,135000,500.0
CartPole-v1__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s1,150000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.001_n_steps=512__s1,15000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.001_n_steps=512__s1,30000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.001_n_steps=512__s1,45000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.001_n_steps=512__s1,60000,485.8
CartPole-v1__PPO__gamma=0.999_learning_rate=0.001_n_steps=512__s1,75000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.001_n_steps=512__s1,90000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.001_n_steps=512__s1,105000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.001_n_steps=512__s1,120000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.001_n_steps=512__s1,135000,500.0
CartPole-v1__PPO__gamma=0.999_learning_rate=0.001_n_steps=512__s1,150000,500.0
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s0,15000,9.2
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s0,30000,13.4
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s0,45000,213.0
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s0,60000,193.8
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s0,75000,274.6
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s0,90000,266.0
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s0,105000,251.4
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s0,120000,187.4
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s0,135000,187.2
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s0,150000,174.8
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s1,15000,9.2
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s1,30000,13.8
CartPole-v1__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s1,45000,133.4
