run_id,env,algo,seed,learning_rate,n_steps,gamma,exploration_fraction,mean_reward,std_reward,timesteps,duration_s,status,error,timestamp
LunarLander-v3__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0003__s1,LunarLander-v3,DQN,1,0.0003,,0.999,0.1,-60.7093,30.5744,300000,1410.5,success,,2026-04-19T11:55:55
LunarLander-v3__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0003__s0,LunarLander-v3,DQN,0,0.0003,,0.99,0.2,-56.6252,22.2985,300000,1400.6,success,,2026-04-19T11:58:16
LunarLander-v3__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0003__s1,LunarLander-v3,DQN,1,0.0003,,0.99,0.2,-12.6686,83.2239,300000,1396.6,success,,2026-04-19T11:58:21
LunarLander-v3__DQN__exploration_fraction=0.2_gamma=0.999_learning_rate=0.0003__s0,LunarLander-v3,DQN,0,0.0003,,0.999,0.2,-3.156,120.7336,300000,1403.8,success,,2026-04-19T11:59:22
LunarLander-v3__DQN__exploration_fraction=0.2_gamma=0.999_learning_rate=0.0003__s1,LunarLander-v3,DQN,1,0.0003,,0.999,0.2,99.4433,84.4473,300000,1403.9,success,,2026-04-19T11:59:28
LunarLander-v3__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.001__s0,LunarLander-v3,DQN,0,0.001,,0.99,0.1,1.6574,147.0011,300000,1428.0,success,,2026-04-19T12:05:40
LunarLander-v3__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.001__s1,LunarLander-v3,DQN,1,0.001,,0.99,0.1,49.7334,130.6088,300000,1432.9,success,,2026-04-19T12:05:54
LunarLander-v3__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.001__s0,LunarLander-v3,DQN,0,0.001,,0.999,0.1,22.126,135.3365,300000,1428.8,success,,2026-04-19T12:06:04
LunarLander-v3__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.001__s1,LunarLander-v3,DQN,1,0.001,,0.999,0.1,109.4169,126.5973,300000,1430.6,success,,2026-04-19T12:06:10
LunarLander-v3__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.001__s0,LunarLander-v3,DQN,0,0.001,,0.99,0.2,-30.6525,21.6691,300000,1530.5,success,,2026-04-19T12:19:11
LunarLander-v3__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.001__s1,LunarLander-v3,DQN,1,0.001,,0.99,0.2,58.2656,108.3915,300000,1526.2,success,,2026-04-19T12:19:23
LunarLander-v3__DQN__exploration_fraction=0.2_gamma=0.999_learning_rate=0.001__s0,LunarLander-v3,DQN,0,0.001,,0.999,0.2,49.1706,125.5673,300000,1529.1,success,,2026-04-19T12:19:26
LunarLander-v3__DQN__exploration_fraction=0.2_gamma=0.999_learning_rate=0.001__s1,LunarLander-v3,DQN,1,0.001,,0.999,0.2,-67.6053,45.6016,300000,1555.8,success,,2026-04-19T12:21:36
Acrobot-v1__PPO__gamma=0.99_learning_rate=0.0001_n_steps=512__s0,Acrobot-v1,PPO,0,0.0001,512,0.99,,-85.8,16.4396,300000,1803.1,success,,2026-04-19T12:21:37
